query,status,seconds,result_rows_or_error
query1,OK,9.558,4
query2,OK,2.807,100
query3,OK,8.973,10
query4,OK,13.997,5
query5,OK,10.325,5
query6,OK,1.118,1
query7,OK,29.612,4
query8,OK,20.411,2
query9,OK,58.346,175
query10,OK,15.711,20
query11,OK,3.211,467405
query12,OK,6.975,2
query13,OK,10.000,40
query14,OK,1.970,1
query15,OK,3.396,1
query16,OK,5.963,27840
query17,OK,5.200,1
query18,OK,31.890,100
query19,OK,3.646,1
query20,OK,17.399,72343
query21,OK,99.207,100
query22,OK,6.762,7
